gene_id,locus_tag
SGL_RS03645,slr1068
SGL_RS03650,slr1069
SGL_RS03655,slr1070
SGL_RS03660,slr1071
SGL_RS03665,slr1072
SGL_RS03670,slr1073
SGL_RS03675,slr1074
SGL_RS18670,SGL_RS18670
SGL_RS03685,slr1076
SGL_RS03690,slr1077
SGL_RS03695,ssr1765
SGL_RS03700,ssr1766
SGL_RS03705,slr1078
SGL_RS18675,SGL_RS18675
SGL_RS03715,SGL_RS03715
SGL_RS03720,ssr1768
SGL_RS03725,slr1081
SGL_RS03730,slr1082
SGL_RS03735,slr1083
SGL_RS03740,slr1084
SGL_RS03745,slr1085
SGL_RS03750,slr1087
SGL_RS03755,sll1025
SGL_RS03760,ssl1972
SGL_RS03765,sll1024
SGL_RS03770,sll1023
SGL_RS03775,sll1022
SGL_RS03780,sll1021
SGL_RS03785,sll1020
SGL_RS03790,slr1090
SGL_RS19170,SGL_RS19170
SGL_RS03800,sll1019
SGL_RS03805,sll1018
SGL_RS03810,sll1017
SGL_RS03815,slr1400
SGL_RS03820,slr0670
SGL_RS03825,sll0656
SGL_RS03830,sll0654
SGL_RS20115,SGL_RS20115
SGL_RS03840,slr0676
SGL_RS03845,slr0677
SGL_RS03850,slr0678
SGL_RS03855,slr0679
SGL_RS19775,SGL_RS19775
SGL_RS03865,slr0681
SGL_RS03870,slr0682
SGL_RS18680,SGL_RS18680
SGL_RS19780,SGL_RS19780
SGL_RS03885,sll0649
SGL_RS03890,sll0648
SGL_RS03895,sll0647
SGL_RS03900,sll0646
SGL_RS03905,sll0645
SGL_RS03910,sll0644
SGL_RS03915,slr0686
SGL_RS03920,sll0643
SGL_RS03925,slr0687
SGL_RS03930,sll0641
SGL_RS03935,sll0640
SGL_RS03940,slr0688
SGL_RS03945,ssr1155
SGL_RS03950,slr0689
SGL_RS03955,sll0639
SGL_RS03960,sll0638
SGL_RS03965,slr0692
SGL_RS03970,sll0635
SGL_RS03975,sll0634
SGL_RS03980,ST6803t06
SGL_RS03985,slr0695
SGL_RS03990,slr1590
SGL_RS03995,slr1591
SGL_RS04000,slr1592
SGL_RS04005,slr1593
SGL_RS04010,slr1594
SGL_RS04015,slr1595
SGL_RS04020,sll1516
SGL_RS04025,slr1596
SGL_RS04030,sll1515
SGL_RS04035,slr1597
SGL_RS04040,sll1514
SGL_RS04045,SGL_RS04045
SGL_RS04050,sll1513
SGL_RS04055,sll1512
SGL_RS04060,slr1598
SGL_RS04065,sll1511
SGL_RS04070,sll1510
SGL_RS04075,sll1509
SGL_RS19425,SGL_RS19425
SGL_RS04080,slr1599
SGL_RS04085,slr1600
SGL_RS04090,smr0005
SGL_RS04095,slr1601
SGL_RS04100,sll1508
SGL_RS04105,sll1507
SGL_RS04110,slr1603
SGL_RS04115,slr1604
SGL_RS04120,true
SGL_RS04125,ssl2923
SGL_RS04130,ssl2922
SGL_RS04135,SGL_RS04135
SGL_RS04140,ssl2920
SGL_RS04145,sll1505
SGL_RS04150,sll1504
SGL_RS04155,sll1503
SGL_RS04160,sll1502
SGL_RS18685,true
SGL_RS04175,slr1608
SGL_RS04180,sll1501
SGL_RS04185,sll1500
SGL_RS04190,slr1609
SGL_RS04195,slr1041
SGL_RS04200,slr1042
SGL_RS04205,slr1043
SGL_RS04210,slr1044
SGL_RS04215,slr1045
SGL_RS04220,slr1046
SGL_RS04225,slr1047
SGL_RS19430,SGL_RS19430
SGL_RS04230,slr1048
SGL_RS04235,sll1011
SGL_RS04240,ssr1736
SGL_RS04245,slr1050
SGL_RS04250,slr1051
SGL_RS04255,slr1052
SGL_RS04260,slr1053
SGL_RS04265,sll1009
SGL_RS04275,slr1055
SGL_RS04280,slr1056
SGL_RS04285,sll1006
SGL_RS04290,sll1005
SGL_RS04295,sll1004
SGL_RS04300,sll1003
SGL_RS18690,SGL_RS18690
SGL_RS18695,true
SGL_RS04310,sll1002
SGL_RS04315,sll1001
SGL_RS04320,ssl1918
SGL_RS04325,slr1753
SGL_RS04330,slr1755
SGL_RS04335,sll1647
SGL_RS04340,slr1756
SGL_RS04345,slr1759
SGL_RS04350,slr1760
SGL_RS04355,slr1761
SGL_RS04360,sll1643
SGL_RS04365,slr1762
SGL_RS04370,slr1763
SGL_RS04375,sll1642
SGL_RS04380,slr1764
SGL_RS04385,sll1641
SGL_RS04390,ssr2962
SGL_RS04395,slr1767
SGL_RS04400,sll1640
SGL_RS04405,sll1639
SGL_RS04410,sll1638
SGL_RS04415,slr1768
SGL_RS04420,sll1636
SGL_RS04425,slr1770
SGL_RS04430,slr1771
SGL_RS04435,sll1635
SGL_RS04440,sml0005
SGL_RS04445,sll1752
SGL_RS04450,ssr3122
